address,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/street1,addressObj/street2,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,ancestorLocations/3/id,ancestorLocations/3/name,ancestorLocations/3/subcategory,category,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,description,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dietaryRestrictions/3,dietaryRestrictions/4,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,dishes/6,dishes/7,dishes/8,dishes/9,dishes/10,dishes/11,dishes/12,dishes/13,dishes/14,dishes/15,dishes/16,dishes/17,dishes/18,dishes/19,dishes/20,dishes/21,dishes/22,dishes/23,dishes/24,dishes/25,dishes/26,dishes/27,dishes/28,dishes/29,email,establishmentTypes/0,establishmentTypes/1,establishmentTypes/2,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,features/18,features/19,features/20,features/21,features/22,features/23,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/closeHours,hours/weekRanges/0/0/open,hours/weekRanges/0/0/openHours,hours/weekRanges/0/1/close,hours/weekRanges/0/1/closeHours,hours/weekRanges/0/1/open,hours/weekRanges/0/1/openHours,hours/weekRanges/0/2/close,hours/weekRanges/0/2/closeHours,hours/weekRanges/0/2/open,hours/weekRanges/0/2/openHours,hours/weekRanges/1/0/close,hours/weekRanges/1/0/closeHours,hours/weekRanges/1/0/open,hours/weekRanges/1/0/openHours,hours/weekRanges/1/1/close,hours/weekRanges/1/1/closeHours,hours/weekRanges/1/1/open,hours/weekRanges/1/1/openHours,hours/weekRanges/1/2/close,hours/weekRanges/1/2/closeHours,hours/weekRanges/1/2/open,hours/weekRanges/1/2/openHours,hours/weekRanges/2/0/close,hours/weekRanges/2/0/closeHours,hours/weekRanges/2/0/open,hours/weekRanges/2/0/openHours,hours/weekRanges/2/1/close,hours/weekRanges/2/1/closeHours,hours/weekRanges/2/1/open,hours/weekRanges/2/1/openHours,hours/weekRanges/2/2/close,hours/weekRanges/2/2/closeHours,hours/weekRanges/2/2/open,hours/weekRanges/2/2/openHours,hours/weekRanges/3/0/close,hours/weekRanges/3/0/closeHours,hours/weekRanges/3/0/open,hours/weekRanges/3/0/openHours,hours/weekRanges/3/1/close,hours/weekRanges/3/1/closeHours,hours/weekRanges/3/1/open,hours/weekRanges/3/1/openHours,hours/weekRanges/3/2/close,hours/weekRanges/3/2/closeHours,hours/weekRanges/3/2/open,hours/weekRanges/3/2/openHours,hours/weekRanges/4/0/close,hours/weekRanges/4/0/closeHours,hours/weekRanges/4/0/open,hours/weekRanges/4/0/openHours,hours/weekRanges/4/1/close,hours/weekRanges/4/1/closeHours,hours/weekRanges/4/1/open,hours/weekRanges/4/1/openHours,hours/weekRanges/4/2/close,hours/weekRanges/4/2/closeHours,hours/weekRanges/4/2/open,hours/weekRanges/4/2/openHours,hours/weekRanges/5/0/close,hours/weekRanges/5/0/closeHours,hours/weekRanges/5/0/open,hours/weekRanges/5/0/openHours,hours/weekRanges/5/1/close,hours/weekRanges/5/1/closeHours,hours/weekRanges/5/1/open,hours/weekRanges/5/1/openHours,hours/weekRanges/5/2/close,hours/weekRanges/5/2/closeHours,hours/weekRanges/5/2/open,hours/weekRanges/5/2/openHours,hours/weekRanges/6/0/close,hours/weekRanges/6/0/closeHours,hours/weekRanges/6/0/open,hours/weekRanges/6/0/openHours,hours/weekRanges/6/1/close,hours/weekRanges/6/1/closeHours,hours/weekRanges/6/1/open,hours/weekRanges/6/1/openHours,hours/weekRanges/6/2/close,hours/weekRanges/6/2/closeHours,hours/weekRanges/6/2/open,hours/weekRanges/6/2/openHours,id,input,isClaimedIcon,isClaimedText,isClosed,isLongClosed,isNearbyResult,latitude,localAddress,localName,locationString,longitude,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,mealTypes/5,menuWebUrl,name,numberOfReviews,openNowText,orderOnline/0/buttonText,orderOnline/0/canProvideTimeslots,orderOnline/0/headerText,orderOnline/0/logoUrl,orderOnline/0/offerURL,orderOnline/0/provider,orderOnline/0/providerDisplayName,orderOnline/0/providerId,orderOnline/0/providerType,ownersTopReasons,ownersTopReasons/sectionHeader,ownersTopReasons/sponsoredBy,ownersTopReasons/topReasons/0/header,ownersTopReasons/topReasons/0/image_url,ownersTopReasons/topReasons/0/isSearchTerm,ownersTopReasons/topReasons/0/keyword,ownersTopReasons/topReasons/0/linkText,ownersTopReasons/topReasons/0/rank,ownersTopReasons/topReasons/0/review/rating,ownersTopReasons/topReasons/0/review/reviewId,ownersTopReasons/topReasons/0/review/screenName,ownersTopReasons/topReasons/0/text,ownersTopReasons/topReasons/1/header,ownersTopReasons/topReasons/1/image_url,ownersTopReasons/topReasons/1/isSearchTerm,ownersTopReasons/topReasons/1/keyword,ownersTopReasons/topReasons/1/linkText,ownersTopReasons/topReasons/1/rank,ownersTopReasons/topReasons/1/review/rating,ownersTopReasons/topReasons/1/review/reviewId,ownersTopReasons/topReasons/1/review/screenName,ownersTopReasons/topReasons/1/text,ownersTopReasons/topReasons/2/header,ownersTopReasons/topReasons/2/image_url,ownersTopReasons/topReasons/2/isSearchTerm,ownersTopReasons/topReasons/2/keyword,ownersTopReasons/topReasons/2/linkText,ownersTopReasons/topReasons/2/rank,ownersTopReasons/topReasons/2/review/rating,ownersTopReasons/topReasons/2/review/reviewId,ownersTopReasons/topReasons/2/review/screenName,ownersTopReasons/topReasons/2/text,phone,photoCount,priceLevel,priceRange,rankingDenominator,rankingPosition,rankingString,rating,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,rawRanking,reviewTags/0/reviews,reviewTags/0/text,reviewTags/1/reviews,reviewTags/1/text,reviewTags/2/reviews,reviewTags/2/text,reviewTags/3/reviews,reviewTags/3/text,reviewTags/4/reviews,reviewTags/4/text,reviewTags/5/reviews,reviewTags/5/text,reviewTags/6/reviews,reviewTags/6/text,reviewTags/7/reviews,reviewTags/7/text,reviewTags/8/reviews,reviewTags/8/text,reviewTags/9/reviews,reviewTags/9/text,reviewTags/10/reviews,reviewTags/10/text,reviewTags/11/reviews,reviewTags/11/text,reviewTags/12/reviews,reviewTags/12/text,reviewTags/13/reviews,reviewTags/13/text,reviewTags/14/reviews,reviewTags/14/text,reviewTags/15/reviews,reviewTags/15/text,reviewTags/16/reviews,reviewTags/16/text,reviewTags/17/reviews,reviewTags/17/text,reviewTags/18/reviews,reviewTags/18/text,reviewTags/19/reviews,reviewTags/19/text,reviewTags/20/reviews,reviewTags/20/text,reviewTags/21/reviews,reviewTags/21/text,reviewTags/22/reviews,reviewTags/22/text,reviewTags/23/reviews,reviewTags/23/text,reviewTags/24/reviews,reviewTags/24/text,reviewTags/25/reviews,reviewTags/25/text,reviewTags/26/reviews,reviewTags/26/text,reviewTags/27/reviews,reviewTags/27/text,reviewTags/28/reviews,reviewTags/28/text,reviewTags/29/reviews,reviewTags/29/text,subcategories/0,travelerChoiceAward,type,webUrl,website
"57 Ward Place Roof Top, Jetwing Colombo Seven, Colombo 00700 Sri Lanka",Colombo,Sri Lanka,700,57 Ward Place,"Roof Top, Jetwing Colombo Seven",293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Bar,Pub,,,,,,"Named after our sophisticated location on Ward Place, our rooftop restobar, Ward Seven, is one of the highest in Colombo. Complemented by an illuminated infinity pool, the elevated pocket of urbane tastes is a feast for your senses. In sight – unobstructed panoramas from twilight to moonlight. In sound – the harmonious cacophony of life below. And in smell, touch and taste, a cosmopolitan menu so fitting for the city it serves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resv.colomboseven@jetwinghotels.com,Restaurants,,,Reservations,Outdoor Seating,Seating,Television,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Wine and Beer,Accepts Credit Cards,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12840221,Colombo,TRUE,,FALSE,FALSE,FALSE,6.91658,,,"Colombo, Western Province",79.86995,Lunch,Dinner,Brunch,Late Night,Drinks,,,Ward 7,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 11 2 550200,99,$$ - $$$,,880,148,#148 of 880 Restaurants in Colombo,4.5,1,1,4,9,27,3.417001009,2,pork ribs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d12840221-Reviews-Ward_7-Colombo_Western_Province.html,https://www.jetwinghotels.com/jetwingcolomboseven/restaurants-in-colombo/rooftop-restobar-ward7/
"2 Galle Road, Colombo 00300 Sri Lanka",Colombo,Sri Lanka,300,2 Galle Road,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,French,,,,,,,1864 Limited Edition is a high-class restaurant and bar serving a Tasting menu and A la Carte menu. The restaurant features Animal House for food and drinks which is located on the lower ground floor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@1864limitededition.com,Restaurants,,,Reservations,Private Dining,Seating,Parking Available,Valet Parking,Full Bar,Table Service,,,,,,,,,,,,,,,,,,,Asia/Colombo,,,,,,,,,,,,,,,,,,,,,,,,,1410,23:30,1080,18:00,,,,,,,,,1410,23:30,1080,18:00,,,,,,,,,1410,23:30,1080,18:00,,,,,,,,,1410,23:30,1080,18:00,,,,,,,,,1410,23:30,1080,18:00,,,,,,,,,23931880,Colombo,TRUE,,FALSE,FALSE,FALSE,,,,"Colombo, Western Province",,Dinner,Late Night,Drinks,,,,,1864 Limited Edition,18,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94742601641,16,$$$$,,880,131,#131 of 880 Restaurants in Colombo,5,0,0,0,1,17,3.457108498,2,anniversary dinner,2,special occasion,2,delicious food,3,hostess,2,agung,5,menu,2,ambience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d23931880-Reviews-1864_Limited_Edition-Colombo_Western_Province.html,https://www.facebook.com/1864restaurant/
"106 Thimbirigasyaya Road, Colombo 00500 Sri Lanka",Colombo,Sri Lanka,500,106 Thimbirigasyaya Road,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Cafe,,,,,,,,,,,,,Bubble Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bubblemebubbletea@gmail.com,Restaurants,Quick Bites,,Takeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12286237,Colombo,TRUE,,FALSE,FALSE,FALSE,6.89345,,,"Colombo, Western Province",79.87038,,,,,,,,Bubble Me Bubble Tea,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 11 2 554152,29,$$ - $$$,,880,276,#276 of 880 Restaurants in Colombo,4,2,0,1,10,13,3.165837526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d12286237-Reviews-Bubble_Me_Bubble_Tea-Colombo_Western_Province.html,http://www.facebook.com/bubblemebubbletea
"10 Galle Face Drive, Colombo 00300 Sri Lanka",Colombo,Sri Lanka,300,10 Galle Face Drive,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Asian,Contemporary,Sri Lankan,,,,,"Breeze Barracuda , the latest addition to Barracuda Sea Food and Grill is located at one of most popular tourist destinations in Colombo, Galle Face Promenade.",Vegetarian friendly,,,,,Salad,Curry,Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@barracuda.lk,Restaurants,,,Reservations,Outdoor Seating,Seating,Serves Alcohol,Full Bar,Table Service,BYOB,,,,,,,,,,,,,,,,,,,Asia/Colombo,1560,2:00,180,3:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,1560,2:00,900,15:00,,,,,,,,,14902421,Colombo,TRUE,,FALSE,FALSE,FALSE,6.921183,,,"Colombo, Western Province",79.84617,Lunch,Dinner,,,,,http://barracuda.lk/galle-face-2/#starters,Breeze Barracuda,104,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 77 070 7050,75,$$ - $$$,,880,196,#196 of 880 Restaurants in Colombo,4,18,7,7,20,52,3.286444902,2,fries,13,galle face,2,asian fusion,2,outside seating,2,eatery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d14902421-Reviews-Breeze_Barracuda-Colombo_Western_Province.html,http://barracuda.lk
"590 Colombo - Galle Main Road Marino Mall, Colombo Sri Lanka",Colombo,Sri Lanka,,590 Colombo - Galle Main Road,Marino Mall,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Chinese,Asian,,,,,,,Vegetarian friendly,Vegan options,,,,Fried rice,Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,Reservations,Seating,Serves Alcohol,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16881127,Colombo,FALSE,,FALSE,FALSE,FALSE,6.900297,,,"Colombo, Western Province",79.85292,Lunch,Dinner,,,,,http://shiwurestaurant.lk/menu/food&beverage/,Shiwu Chinese Restaurant,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 76 245 5599,39,$$ - $$$,,800,233,"#233 of 1,135 places to eat in Colombo",4,4,1,3,9,24,3.273561001,2,fish and chips,6,marino,2,lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d16881127-Reviews-Shiwu_Chinese_Restaurant-Colombo_Western_Province.html,
"Sri Kathiresan St, Colombo 01300 Sri Lanka",Colombo,Sri Lanka,1300,Sri Kathiresan St,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Seafood,,,,,,,,,,,,,Crab,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17128931,Colombo,FALSE,,FALSE,FALSE,FALSE,6.940725,,,"Colombo, Western Province",79.85441,,,,,,,,Mayura Hotel,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 11 2 335109,8,$,,800,369,"#369 of 1,135 places to eat in Colombo",4.5,0,0,1,1,7,3.133688688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d17128931-Reviews-Mayura_Hotel-Colombo_Western_Province.html,
"14/3 Polwatta Rd Pamunuwa, Maharagama 10280 Sri Lanka",Maharagama,Sri Lanka,10280,14/3 Polwatta Rd,Pamunuwa,7719299,Maharagama,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Chinese,American,Asian,Sri Lankan,,,,"Kosky Family & BYOB Restaurant in Pamunuwa, Maharagama, offers a unique dining experience where great food meets a relaxed, vibrant atmosphere. Nestled on the 3rd floor with both outdoor and rooftop seating, Kosky provides a scenic view perfect for casual gatherings, family outings, or a memorable night out. Diners can bring their own bottle, making it a fantastic spot to enjoy your favorite drink paired with Kosky’s diverse menu. Known for delicious, fresh dishes and warm hospitality, Kosky Family & BYOB is designed to make everyone feel welcome. Join us for a laid-back experience filled with good food, friendly vibes, and rooftop views under the stars.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,koskyrestaurant@gmail.com,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Colombo,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,1380,23:00,690,11:30,,,,,,,,,29015143,Colombo,TRUE,,FALSE,FALSE,TRUE,6.861475,,,"Maharagama, Western Province",79.93017,Lunch,Dinner,,,,,,Kosky Family & Byob Restaurant,1,Open Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 75 225 3567,24,,,20,5,#5 of 20 Restaurants in Maharagama,5,0,0,0,0,1,3.045320272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g7719299-d29015143-Reviews-Kosky_Family_Byob_Restaurant-Maharagama_Western_Province.html,http://www.kosky.lk
"14 Deanston Place, Colombo Sri Lanka",Colombo,Sri Lanka,,14 Deanston Place,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Chinese,Asian,,,,,,,,,,,,Noodle,Dumplings,Prawns,Cuttlefish,Fried rice,Fish,Pork,Soup,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,Takeout,Reservations,Seating,Table Service,,,,,,,,,,,,,,,,,,,,,,Asia/Colombo,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,900,15:00,660,11:00,1320,22:00,1080,18:00,,,,,3209307,Colombo,FALSE,,FALSE,FALSE,FALSE,6.906231,,,"Colombo, Western Province",79.85325,Lunch,Dinner,,,,,,Min Han,102,Open Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 11 2 576533,48,$$ - $$$,,800,196,"#196 of 1,135 places to eat in Colombo",4,3,5,12,52,30,3.33957243,3,hot butter cuttlefish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d3209307-Reviews-Min_Han-Colombo_Western_Province.html,http://www.facebook.com/pages/category/Chinese-Restaurant/Min-Han-441913369579022/
"76 Wijerama Mawatha, Colombo 00700 Sri Lanka",Colombo,Sri Lanka,700,76 Wijerama Mawatha,,293962,Colombo,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Mexican,American,Cafe,Asian,British,,,"Established in 2018, the peppermint cafe is an independent counter service cafe centrally located in Colombos most glamorous neighborhood, serving coffee-made with Sri Lanka’s premium mountain grown arabica beans.",,,,,,Pasta,Toasts,Pesto,Fish,Fried,,,,,,,,,,,,,,,,,,,,,,,,,,hello@peppermintcafe.lk,Restaurants,,,Takeout,Reservations,Outdoor Seating,Private Dining,Seating,Parking Available,Street Parking,Highchairs Available,American Express,Mastercard,Visa,Discover,Accepts Credit Cards,Table Service,Drive Thru,Dog Friendly,Family style,,,,,,,,,Asia/Colombo,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,1439,23:59,0,0:00,,,,,,,,,15322678,Colombo,TRUE,,FALSE,FALSE,FALSE,6.911358,,,"Colombo, Western Province",79.87089,Breakfast,Lunch,Dinner,Brunch,Late Night,Drinks,https://drive.google.com/file/d/1Lkm5KdKse3bkeevNDQHuWpezKKK5uspn/view?usp=drive_link,Peppermint Cafe,82,Open Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 75 632 0420,272,$$ - $$$,,880,234,#234 of 880 Restaurants in Colombo,3.5,8,8,13,28,25,3.223421812,2,waffle sandwich,3,prawns,14,portions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Café,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g293962-d15322678-Reviews-Peppermint_Cafe-Colombo_Western_Province.html,http://www.peppermintcafe.lk/
"107 Old Negombo Road Wattala 11300, Wattala 11300 Sri Lanka",Wattala,Sri Lanka,11300,107 Old Negombo Road,Wattala 11300,1189028,Wattala,City,2467812,Western Province,Province,293961,Sri Lanka,Country,,,,restaurant,Indian,Asian,Sri Lankan,,,,,,Vegetarian friendly,Vegan options,,,,Curry,Naan,Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,Takeout,Seating,Parking Available,Serves Alcohol,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4129596,Colombo,FALSE,,FALSE,FALSE,TRUE,6.987793,,,"Wattala, Western Province",79.89275,Lunch,Dinner,Brunch,,,,,The Pan,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 11 2 933760,18,$$ - $$$,,13,5,#5 of 25 places to eat in Wattala,3.5,14,6,16,35,23,3.063142776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g1189028-d4129596-Reviews-The_Pan-Wattala_Western_Province.html,
