address,addressObj/city,addressObj/country,addressObj/postalcode,addressObj/state,addressObj/street1,addressObj/street2,ancestorLocations/0/abbreviation,ancestorLocations/0/id,ancestorLocations/0/name,ancestorLocations/0/subcategory,ancestorLocations/1/abbreviation,ancestorLocations/1/id,ancestorLocations/1/name,ancestorLocations/1/subcategory,ancestorLocations/2/abbreviation,ancestorLocations/2/id,ancestorLocations/2/name,ancestorLocations/2/subcategory,ancestorLocations/3/abbreviation,ancestorLocations/3/id,ancestorLocations/3/name,ancestorLocations/3/subcategory,ancestorLocations/4/abbreviation,ancestorLocations/4/id,ancestorLocations/4/name,ancestorLocations/4/subcategory,category,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7,description,dietaryRestrictions/0,dietaryRestrictions/1,dietaryRestrictions/2,dishes/0,dishes/1,dishes/2,dishes/3,dishes/4,dishes/5,dishes/6,dishes/7,dishes/8,dishes/9,dishes/10,dishes/11,dishes/12,dishes/13,dishes/14,dishes/15,dishes/16,dishes/17,dishes/18,dishes/19,dishes/20,dishes/21,email,establishmentTypes/0,establishmentTypes/1,establishmentTypes/2,establishmentTypes/3,features/0,features/1,features/2,features/3,features/4,features/5,features/6,features/7,features/8,features/9,features/10,features/11,features/12,features/13,features/14,features/15,features/16,features/17,features/18,features/19,features/20,features/21,features/22,features/23,features/24,features/25,hours,hours/timezone,hours/weekRanges/0/0/close,hours/weekRanges/0/0/closeHours,hours/weekRanges/0/0/open,hours/weekRanges/0/0/openHours,hours/weekRanges/0/1/close,hours/weekRanges/0/1/closeHours,hours/weekRanges/0/1/open,hours/weekRanges/0/1/openHours,hours/weekRanges/1/0/close,hours/weekRanges/1/0/closeHours,hours/weekRanges/1/0/open,hours/weekRanges/1/0/openHours,hours/weekRanges/1/1/close,hours/weekRanges/1/1/closeHours,hours/weekRanges/1/1/open,hours/weekRanges/1/1/openHours,hours/weekRanges/2/0/close,hours/weekRanges/2/0/closeHours,hours/weekRanges/2/0/open,hours/weekRanges/2/0/openHours,hours/weekRanges/2/1/close,hours/weekRanges/2/1/closeHours,hours/weekRanges/2/1/open,hours/weekRanges/2/1/openHours,hours/weekRanges/3/0/close,hours/weekRanges/3/0/closeHours,hours/weekRanges/3/0/open,hours/weekRanges/3/0/openHours,hours/weekRanges/3/1/close,hours/weekRanges/3/1/closeHours,hours/weekRanges/3/1/open,hours/weekRanges/3/1/openHours,hours/weekRanges/4/0/close,hours/weekRanges/4/0/closeHours,hours/weekRanges/4/0/open,hours/weekRanges/4/0/openHours,hours/weekRanges/4/1/close,hours/weekRanges/4/1/closeHours,hours/weekRanges/4/1/open,hours/weekRanges/4/1/openHours,hours/weekRanges/5/0/close,hours/weekRanges/5/0/closeHours,hours/weekRanges/5/0/open,hours/weekRanges/5/0/openHours,hours/weekRanges/5/1/close,hours/weekRanges/5/1/closeHours,hours/weekRanges/5/1/open,hours/weekRanges/5/1/openHours,hours/weekRanges/6/0/close,hours/weekRanges/6/0/closeHours,hours/weekRanges/6/0/open,hours/weekRanges/6/0/openHours,hours/weekRanges/6/1/close,hours/weekRanges/6/1/closeHours,hours/weekRanges/6/1/open,hours/weekRanges/6/1/openHours,id,input,isClaimedIcon,isClaimedText,isClosed,isLongClosed,isNearbyResult,latitude,localAddress,localLangCode,localName,locationString,longitude,mealTypes/0,mealTypes/1,mealTypes/2,mealTypes/3,mealTypes/4,mealTypes/5,menuWebUrl,name,nearestMetroStations/0/address,nearestMetroStations/0/distance,nearestMetroStations/0/latitude,nearestMetroStations/0/lines/0/id,nearestMetroStations/0/lines/0/lineName,nearestMetroStations/0/lines/0/lineSymbol,nearestMetroStations/0/lines/0/systemName,nearestMetroStations/0/lines/0/systemSymbol,nearestMetroStations/0/lines/0/type,nearestMetroStations/0/localAddress,nearestMetroStations/0/localName,nearestMetroStations/0/longitude,nearestMetroStations/0/name,nearestMetroStations/1/address,nearestMetroStations/1/distance,nearestMetroStations/1/latitude,nearestMetroStations/1/lines/0/id,nearestMetroStations/1/lines/0/lineName,nearestMetroStations/1/lines/0/lineSymbol,nearestMetroStations/1/lines/0/systemName,nearestMetroStations/1/lines/0/systemSymbol,nearestMetroStations/1/lines/0/type,nearestMetroStations/1/localAddress,nearestMetroStations/1/localName,nearestMetroStations/1/longitude,nearestMetroStations/1/name,nearestMetroStations/2/address,nearestMetroStations/2/distance,nearestMetroStations/2/latitude,nearestMetroStations/2/lines/0/id,nearestMetroStations/2/lines/0/lineName,nearestMetroStations/2/lines/0/lineSymbol,nearestMetroStations/2/lines/0/systemName,nearestMetroStations/2/lines/0/systemSymbol,nearestMetroStations/2/lines/0/type,nearestMetroStations/2/localAddress,nearestMetroStations/2/localName,nearestMetroStations/2/longitude,nearestMetroStations/2/name,numberOfReviews,openNowText,orderOnline/0/buttonText,orderOnline/0/canProvideTimeslots,orderOnline/0/headerText,orderOnline/0/logoUrl,orderOnline/0/offerURL,orderOnline/0/provider,orderOnline/0/providerDisplayName,orderOnline/0/providerId,orderOnline/0/providerType,ownersTopReasons,ownersTopReasons/sectionHeader,ownersTopReasons/sponsoredBy,ownersTopReasons/topReasons/0/header,ownersTopReasons/topReasons/0/image_url,ownersTopReasons/topReasons/0/isSearchTerm,ownersTopReasons/topReasons/0/keyword,ownersTopReasons/topReasons/0/linkText,ownersTopReasons/topReasons/0/rank,ownersTopReasons/topReasons/0/review,ownersTopReasons/topReasons/0/text,ownersTopReasons/topReasons/1/header,ownersTopReasons/topReasons/1/image_url,ownersTopReasons/topReasons/1/isSearchTerm,ownersTopReasons/topReasons/1/keyword,ownersTopReasons/topReasons/1/linkText,ownersTopReasons/topReasons/1/rank,ownersTopReasons/topReasons/1/review,ownersTopReasons/topReasons/1/text,ownersTopReasons/topReasons/2/header,ownersTopReasons/topReasons/2/image_url,ownersTopReasons/topReasons/2/isSearchTerm,ownersTopReasons/topReasons/2/keyword,ownersTopReasons/topReasons/2/linkText,ownersTopReasons/topReasons/2/rank,ownersTopReasons/topReasons/2/review,ownersTopReasons/topReasons/2/text,phone,photoCount,priceLevel,priceRange,rankingDenominator,rankingPosition,rankingString,rating,ratingHistogram/count1,ratingHistogram/count2,ratingHistogram/count3,ratingHistogram/count4,ratingHistogram/count5,rawRanking,reviewTags/0/reviews,reviewTags/0/text,reviewTags/1/reviews,reviewTags/1/text,reviewTags/2/reviews,reviewTags/2/text,reviewTags/3/reviews,reviewTags/3/text,reviewTags/4/reviews,reviewTags/4/text,reviewTags/5/reviews,reviewTags/5/text,reviewTags/6/reviews,reviewTags/6/text,reviewTags/7/reviews,reviewTags/7/text,reviewTags/8/reviews,reviewTags/8/text,reviewTags/9/reviews,reviewTags/9/text,reviewTags/10/reviews,reviewTags/10/text,reviewTags/11/reviews,reviewTags/11/text,reviewTags/12/reviews,reviewTags/12/text,reviewTags/13/reviews,reviewTags/13/text,reviewTags/14/reviews,reviewTags/14/text,reviewTags/15/reviews,reviewTags/15/text,reviewTags/16/reviews,reviewTags/16/text,reviewTags/17/reviews,reviewTags/17/text,reviewTags/18/reviews,reviewTags/18/text,reviewTags/19/reviews,reviewTags/19/text,reviewTags/20/reviews,reviewTags/20/text,reviewTags/21/reviews,reviewTags/21/text,reviewTags/22/reviews,reviewTags/22/text,reviewTags/23/reviews,reviewTags/23/text,reviewTags/24/reviews,reviewTags/24/text,reviewTags/25/reviews,reviewTags/25/text,reviewTags/26/reviews,reviewTags/26/text,reviewTags/27/reviews,reviewTags/27/text,subcategories/0,travelerChoiceAward,type,webUrl,website
"12 Mahamaya Mawatha, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,12 Mahamaya Mawatha,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Bar,International,Pub,Dining bars,,,,,"Grand Sky Lounge is Located on the rooftop of Grand Serendib Hotel, you find a vibrant spot with a panoramic view of Sri Lanka’s most bustling city Kandy. At day time Grand sky Lounge offers you the best spot for appointments, meetings or a little catch up. However, as the sun sets and the volume goes up, our cocktail shakers and pleasant music turns the grand sky lounge into an energetic lounge.",,,,,,,,,,,,,,,,,,,,,,,,,,info@grandserendibhotel.com,Restaurants,,,,Reservations,Outdoor Seating,Seating,Parking Available,Television,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Wine and Beer,Mastercard,Visa,Free Wifi,Accepts Credit Cards,Table Service,Live Music,,,,,,,,,,,,Asia/Colombo,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,1425,23:45,600,10:00,,,,,27740176,Kandy,true,,false,false,false,7.285323,,,,"Kandy, Kandy District, Central Province",80.644485,Breakfast,Lunch,Dinner,Brunch,Drinks,,http://www.tripadvisor.com/MobileRestaurantMenu-g304138-d27740176-Grand_Sky_Lounge-Kandy_Kandy_District_Central_Province.html,Grand Sky Lounge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,Closed Now,,,,,,,,,,,Top 3 reasons to eat here,Sponsored by: Grand Sky Lounge,Ambience,https://media-cdn.tripadvisor.com/media/photo-s/2c/3b/72/db/bar-lounge.jpg,true,Ambience,See reviews that mention Ambience,1,,The best place to visit in Kandy with unique scenery view.,Dining experience,https://media-cdn.tripadvisor.com/media/photo-s/2c/60/9c/4b/seafood.jpg,true,Dining experience,See reviews that mention Dining experience,2,,Quality service and delicious food,Live entertainment,https://media-cdn.tripadvisor.com/media/photo-s/2c/3b/6b/f4/live-music.jpg,true,Live entertainment,See reviews that mention Live entertainment,3,,Pure fun with better music,+94 81 2 244333,62,$$$$,,321,3,#3 of 321 Restaurants in Kandy,5,0,0,0,4,60,4.683845043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d27740176-Reviews-Grand_Sky_Lounge-Kandy_Kandy_District_Central_Province.html,https://www.grandserendibhotel.com/index.php
"839 Peradeniya Road Kandyan Arts Residency, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,839 Peradeniya Road,Kandyan Arts Residency,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Italian,International,Asian,Indonesian,Mongolian,,,,"Enjoy casual, contemporary cuisine all day dining at Kandyan Arts , where modern design meets innovative cuisine. Located in Kandy, this dining destination offers an International Level complete Lunch Buffet (Probably the only One in the Area) as well as Sri Lankan, Western, Indonesian, Indian, Mongolian, Italian and Chinese cuisine. Guests can also enjoy Shisha on the rooftop lounge with the great view of Hanthana mountains. Ideally suited for a leisurely dining experience or a business meal. Hours of Operation Breakfast: Buffet and A la carte from 6.30am - 11.30am, daily Lunch: Buffet and A la carte from 12.30pm - 3.30 pm, Sunday - Thursday A la carte from 12.30pm - 3.30pm, Friday - Saturday Dinner A la carte from 6.30pm - 11pm, daily",Vegetarian friendly,Vegan options,,Curry,Fish,Soup,Chicken Curry,Biryani,,,,,,,,,,,,,,,,,,info@hotelkandyanarts.com,Restaurants,,,,Reservations,Outdoor Seating,Buffet,Seating,Parking Available,Free off-street parking,Highchairs Available,Wheelchair Accessible,Serves Alcohol,Full Bar,Wine and Beer,Free Wifi,Accepts Credit Cards,,,,,,,,,,,,,,,Asia/Colombo,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,1320,22:00,420,07:00,,,,,3438350,Kandy,true,,false,false,false,7.276945,,,,"Kandy, Kandy District, Central Province",80.615524,Lunch,Dinner,Drinks,,,,,Kandyan Arts Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 81 2 229825,125,$$ - $$$,,321,48,#48 of 321 Restaurants in Kandy,3.5,13,16,59,86,64,3.443558931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d3438350-Reviews-Kandyan_Arts_Restaurant-Kandy_Kandy_District_Central_Province.html,http://hotelkandyanarts.com/
"9 Sangaraja Mawatha, Kandy 8 Sri Lanka",Kandy,Sri Lanka,8,,9 Sangaraja Mawatha,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Asian,Sri Lankan,,,,,,,,Vegetarian friendly,Vegan options,,Juice & Smoothies,Noodle,Salad,Curry,Fried rice,Fish,Roti,Soup,Chicken Curry,Chicken Biryani,Biryani,,,,,,,,,,,,tkgcbistro@gmail.com,Restaurants,,,,Takeout,Seating,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2057786,Kandy,false,,false,false,false,7.286927,,,,"Kandy, Kandy District, Central Province",80.64747,Breakfast,Lunch,Dinner,Late Night,,,,The Kandy Garden Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 81 2 220355,138,$,,321,17,#17 of 321 Restaurants in Kandy,4,26,35,79,242,301,4.077689171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d2057786-Reviews-The_Kandy_Garden_Cafe-Kandy_Kandy_District_Central_Province.html,
"155 S W R D Bandaranayake Road, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,155 S W R D Bandaranayake Road,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Cafe,,,,,,,,This restaurant is for the people who love to enjoy their meal in a quiet environment while enjoying the stunning mountain range . you can hang out with your friends also,Vegetarian friendly,Vegan options,,Juice & Smoothies,Burger,Fried,,,,,,,,,,,,,,,,,,,,info@kandycitystay.com,Restaurants,,,,Reservations,Outdoor Seating,Seating,Parking Available,Table Service,,,,,,,,,,,,,,,,,,,,,,,Asia/Colombo,1320,22:00,660,11:00,,,,,,,,,,,,,1320,22:00,660,11:00,,,,,1320,22:00,660,11:00,,,,,1320,22:00,660,11:00,,,,,1320,22:00,660,11:00,,,,,1320,22:00,660,11:00,,,,,15150352,Kandy,true,,false,false,false,7.286809,,,,"Kandy, Kandy District, Central Province",80.627655,Breakfast,Lunch,Dinner,Late Night,Drinks,,https://www.facebook.com/pg/Thewhizz1/photos/?tab=album&album_id=1184625208327831,The Whizz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 81 2 228080,139,$$ - $$$,,321,41,#41 of 321 Restaurants in Kandy,4.5,10,5,2,10,75,3.499032259,12,foods,16,view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d15150352-Reviews-The_Whizz-Kandy_Kandy_District_Central_Province.html,http://www.kandycitystay.com
"No. 1C Devi Road Galkaduwa Junction, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,No. 1C Devi Road,Galkaduwa Junction,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Italian,Chinese,Asian,Sri Lankan,,,,,"The Chef Corner Restaurant & BYOB located at a 10 minutes distance from the Temple of Tooth Kandy. Best place if you are looking for some mouth flavoring food. Chinese, Western, Italian and Sri Lanka cuisines are available.",,,,,,,,,,,,,,,,,,,,,,,,,,chefcorner.viplounge@gmail.com,Restaurants,,,,Delivery,Takeout,Seating,Parking Available,Free off-street parking,Television,Highchairs Available,American Express,Mastercard,Visa,Digital Payments,Free Wifi,Discover,Accepts Credit Cards,Table Service,BYOB,Family style,,,,,,,,,,,Asia/Colombo,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,1380,23:00,540,09:00,,,,,27456453,Kandy,true,,false,false,false,7.2955,,,,"Kandy, Kandy District, Central Province",80.6356,Breakfast,Lunch,Dinner,Brunch,Drinks,,,The Chef Corner & Vip Lounge By Sugath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 81 2 226750,3,$$ - $$$,,321,89,#89 of 321 Restaurants in Kandy,5,0,0,0,1,6,3.194739819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d27456453-Reviews-The_Chef_Corner_Vip_Lounge_By_Sugath-Kandy_Kandy_District_Central_Province.html,https://www.facebook.com/profile.php?id=61557621626167
"Sri Wickrama Rajasinghe Mawatha, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,Sri Wickrama Rajasinghe Mawatha,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Sri Lankan,,,,,,,,,Vegetarian friendly,Vegan options,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15180264,Kandy,false,,false,false,false,6.970351,,,,"Kandy, Kandy District, Central Province",80.76738,Breakfast,Lunch,,,,,,Hela Bojun Hala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,$,,252,68,#68 of 381 places to eat in Kandy,4.5,0,0,0,6,13,3.303839445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d15180264-Reviews-Hela_Bojun_Hala-Kandy_Kandy_District_Central_Province.html,
"Hewaheta Road, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,Hewaheta Road,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Italian,Chinese,Indian,International,Asian,Sri Lankan,,,"A place which meets total customer satisfaction, each customer is served and the food is made according to customer likes and wish",,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12192097,Kandy,false,,false,false,false,7.288029,,,,"Kandy, Kandy District, Central Province",80.657646,,,,,,,,The Vinci Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,$,,321,188,#188 of 321 Restaurants in Kandy,3.5,0,2,1,3,1,3.020996571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d12192097-Reviews-The_Vinci_Cafe-Kandy_Kandy_District_Central_Province.html,
"No 314 , Matale Road , Akurana, Kandy 20850 Sri Lanka",Kandy,Sri Lanka,20850,,"No 314 , Matale Road ,",Akurana,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Italian,Indian,Fast Food,International,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,info@milanofoods.lk,Restaurants,,,,Takeout,Parking Available,Table Service,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Colombo,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,1350,22:30,390,06:30,,,,,10826057,Kandy,true,,false,false,false,7.369076,,,,"Kandy, Kandy District, Central Province",80.61744,Breakfast,Lunch,Dinner,Drinks,,,,Milano Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Closed Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 81 2 301800,8,,,321,144,#144 of 321 Restaurants in Kandy,4.5,0,0,0,2,2,3.070618629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d10826057-Reviews-Milano_Foods-Kandy_Kandy_District_Central_Province.html,https://www.facebook.com/milanofoodsaku
"30 E L Senanayake Veediya Located infront of Kataragama temple, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,30 E L Senanayake Veediya,Located infront of Kataragama temple,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Healthy,,,,,,,,Moved to new location infront of Kataragama temple. Fresh Juice Vegan/Vegitarian food. Friendly Staff Clean and pleasant atmosphere.,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia/Colombo,,,,,,,,,1080,18:00,540,09:00,,,,,1080,18:00,540,09:00,,,,,1080,18:00,540,09:00,,,,,1080,18:00,540,09:00,,,,,1080,18:00,540,09:00,,,,,1080,18:00,540,09:00,,,,,13923609,Kandy,true,,false,false,false,7.29572,,,,"Kandy, Kandy District, Central Province",80.63677,Breakfast,Lunch,Dinner,,,,,Canishka's Eatery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Closed today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+94 76 298 7461,9,,,321,78,#78 of 321 Restaurants in Kandy,5,0,0,0,1,9,3.228322744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d13923609-Reviews-Canishka_s_Eatery-Kandy_Kandy_District_Central_Province.html,
"47 Peradeniya Road, Kandy 20000 Sri Lanka",Kandy,Sri Lanka,20000,,47 Peradeniya Road,,,304138,Kandy,Municipality,,12289092,Kandy District,District,,2467830,Central Province,Province,,293961,Sri Lanka,Country,,,,,restaurant,Asian,,,,,,,,,Vegetarian friendly,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3693076,Kandy,false,,false,false,false,7.27859,,,,"Kandy, Kandy District, Central Province",80.61716,,,,,,,,Ajith Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,321,206,#206 of 321 Restaurants in Kandy,4,0,0,0,1,0,3.005046606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sit down,,RESTAURANT,https://www.tripadvisor.com/Restaurant_Review-g304138-d3693076-Reviews-Ajith_Restaurant-Kandy_Kandy_District_Central_Province.html,
