address,all_amenities,description,email,phone,category,hotelclass,latitude,longitude,pricelevel,pricerange,rankingdenominator,name,rankingposition,rankingstring,rating,weburl,website
"14 Borella Cross Road off Ward Place, Colombo 00800 Sri Lanka","Internet, Free Internet, Restaurant, Airport transportation, Wifi, Free Wifi, Breakfast included, Dry Cleaning, Non-smoking rooms, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Minibar, Safe, Flatscreen TV, Private Balcony, Bath / Shower, Bottled Water, Complimentary Instant Coffee, Ironing Service, Room service, Non-smoking hotel, Breakfast Available, Parking, Baggage Storage, Car Hire, 24-Hour Check-in, Clothes Rack, Coffee Shop, English, Complimentary Toiletries, 24-Hour Front Desk, German, Hair Dryer, Iron, Seating Area, Shared Kitchen, Sofa, Street Parking, Telephone, Valet Parking, not provided",This is to introduce you to Rockwell Colombo – a boutique style small hotel off prestigious Colombo suburb Ward place.,madhawa@rockwellcolombo.com,+94 71 273 9394,hotel,3.5,6.916038,79.87511,$,"LKR 11,357 - LKR 16,599",67,Rockwell Colombo,4,#4 of 67 small hotels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d6369998-Reviews-Rockwell_Colombo-Colombo_Western_Province.html,http://RockwellColombo.com
"538 Galle Road Colombo 03, Colombo 00300 Sri Lanka","Internet, Room service, Free Internet, Wheelchair access, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Available, Baggage Storage, 24-Hour Check-in, English, 24-Hour Front Desk, 24-Hour Security, Family Rooms, Parking, Housekeeping, Arabic, Bath / Shower, Bottled Water, Car Hire, Currency Exchange, Desk, Gift Shop, Hindi, Parking Garage, Shops, Sinhala, Soundproof Rooms, Tamil, not provided","Ivy Lane Colombo is an excellent choice for travelers visiting Colombo, offering a charming environment alongside many helpful amenities designed to enhance your stay.
The rooms offer a flat screen TV, air conditioning, and a desk, and getting online is possible, as free wifi is available, allowing you to rest and refresh with ease.
Ivy Lane Colombo features a 24 hour front desk, baggage storage, and shops. In addition, as a valued Ivy Lane Colombo guest, you can enjoy free breakfast that is available on-site. Guests arriving by vehicle have access to parking.
Close to some of Colombo's most popular landmarks, such as Independence Square (0.9 mi) and Seema Malakaya Temple (1.1 mi), Ivy Lane Colombo is a great destination for tourists.
While visiting Colombo, you may want to try some ribs at one of the nearby restaurants, such as Shang Palace, Capital Bar & Grill, or rare at Residence.
Plus, during your trip, don’t forget to check out some of the popular art museums, such as The Galleries of Sapumal Foundation, Saskia Fernando Gallery, and Lionel Wendt Memorial Art Gallery.
Enjoy your stay in Colombo!
",info@ivylane.lk,+94 11 2 575733,hotel,3.0,6.902251,79.85262,$,"LKR 11,066 - LKR 11,648",67,Ivy Lane Colombo,2,#2 of 67 small hotels in Colombo,4.0,https://www.tripadvisor.com/Hotel_Review-g293962-d7732501-Reviews-Ivy_Lane_Colombo-Colombo_Western_Province.html,http://www.ivylane.lk/
"No 7/1 Elias Place, Colombo 01000 Sri Lanka","Internet, Free Internet, Free parking, Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Laundry Service, Kitchenette, Airport transportation, Fitness center, Air conditioning, not provided","Located in Colombo, Steps Backpackers Hostel has a terrace and shared lounge. Located around 1.9 km from R Premadasa Stadium, the hostel with free WiFi is also 4 km away from American Embassy. Staff on site can arrange airport transportation. A continental breakfast is available every morning at the property. Around the clock assistance is available at the reception",no email,+94 76 857 7006,hotel,2.0,6.925948,79.87358,$,"LKR 1,456 - LKR 5,824",42,Steps Backpackers Hostel,14,#14 of 42 hostels in Colombo,4.5,https://www.tripadvisor.com/Hotel_Review-g293962-d15610732-Reviews-Steps_Backpackers_Hostel-Colombo_Western_Province.html,https://www.facebook.com/Steps-Backpackers-Hostel-1002190009953002/
"29 Milagiriya Avenue Marine Drive, Colombo 00400 Sri Lanka","Wifi, Public Wifi, Free Wifi, Dry Cleaning, Business center, Laundry Service, Family Rooms, Internet, Kids Activities, Room service, Free Internet, Free parking, Restaurant, Bar/Lounge, Airport transportation, Meeting rooms, Non-smoking rooms, Concierge, Air conditioning, Smoking rooms available, Minibar, Non-smoking hotel, Flatscreen TV, Private Balcony, Breakfast Available, Housekeeping, Air Purifier, Allergy-free Room, Baggage Storage, Bath / Shower, Bidet, Billiards, Blackout Curtains, Bottled Water, Breakfast in the Room, Cable / Satellite TV, Car Hire, Chapel / Shrine, 24-Hour Check-in, Express Check-in / Check-out, Children's Television Networks, Clothes Rack, Coffee Shop, Coffee / Tea Maker, Currency Exchange, Desk, Dining Area, Electric Kettle, English, Evening Entertainment, Extra Long Beds, Complimentary Toiletries, 24-Hour Front Desk, Game Room, Happy Hour, Highchairs Available, Hindi, Iron, Ironing Service, Italian, Kids' Meals, Nightclub / DJ, Outdoor Dining Area, Private Bathrooms, Private Check-in / Check-out, 24-Hour Security, Shops, Sinhala, Soundproof Rooms, Sun Deck, Tamil, Taxi Service, Telephone, Tile / Marble Floor, Urdu, Wake Up Service / Alarm Clock, Walk-in Shower, Wardrobe / Closet, Washing Machine, Wine / Champagne, not provided",Euro Lanka is situated along marine Drive overlooking the Indian ocean. All rooms come with balconies with both ocean and city views. Hygiene and cleanliness are the special features of the hotel. The hotel also has a rooftop bar and restaurant and a billiards pool lounge overlooking the ocean. We also offer a highly rated coffee shop on the ground floor serving coffee and all day breakfast.,hoteleurolanka@gmail.com,+94 76 969 6006,hotel,3.0,6.885812,79.855064,$,"LKR 12,231 - LKR 12,522",93,Hotel Eurolanka,70,#70 of 93 hotels in Colombo,3.5,https://www.tripadvisor.com/Hotel_Review-g293962-d12235426-Reviews-Hotel_Eurolanka-Colombo_Western_Province.html,http://hoteleurolanka.com
"28, Borella Cross Road, Colombo 8 Sri Lanka","Internet, Free Internet, Free parking, Air conditioning, Room service, Pets Allowed, Kitchenette, Wifi, Free Wifi, Dry Cleaning, Laundry Service, Family Rooms, Refrigerator in room, Minibar, Non-smoking hotel, Private Balcony, Parking, Housekeeping, Baggage Storage, Bath / Shower, Bathrobes, Car Hire, Express Check-in / Check-out, Clothes Rack, Currency Exchange, Desk, English, Extra Long Beds, Complimentary Toiletries, Iron, Massage, Mosquito Net, Salon, Seating Area, 24-Hour Security, Shared Kitchen, Sinhala, Tamil, Taxi Service, Valet Parking, Wake Up Service / Alarm Clock, Washing Machine, not provided","Looking for a place to stay in Colombo? Then look no further than Skyways Inn, a small hotel that brings the best of Colombo to your doorstep.
Rooms at Skyways Inn provide air conditioning, a refrigerator, and a minibar, and guests can stay connected with free wifi.
In addition, while staying at Skyways Inn guests have access to room service, express check-in and check-out, and baggage storage. Need a place to park? Free parking is available at Skyways Inn.
For those interested in checking out popular landmarks while visiting Colombo, Skyways Inn is located a short distance from Seema Malakaya Temple (1.5 mi) and Asokaramaya Buddhist Temple (1.6 mi).
While visiting Colombo, you may want to try some shrimp at one of the nearby restaurants, such as Ministry of Crab, The Lagoon, or Curry Leaf.
Should time allow, Gangaramaya (Vihara) Buddhist Temple, Colombo National Museum, and Viharamahadevi Park are some popular attractions that are within walking distance.
We’re sure you’ll enjoy your stay at Skyways Inn as you experience everything Colombo has to offer.
",skyways@ceyvista.com,+94 11 2 669333,hotel,0.0,6.916273,79.8754,$,"LKR 7,280 - LKR 11,648",67,Skyways Inn,57,#57 of 67 small hotels in Colombo,2.5,https://www.tripadvisor.com/Hotel_Review-g293962-d3682240-Reviews-Skyways_Inn-Colombo_Western_Province.html,http://www.ceyvista.com/skyways
"40A, Swarnadisi Place, Nawala, Colombo Sri Lanka","Kitchenette, Air conditioning, not provided",no description,no email,no phone,hotel,3.0,6.89825,79.89808,no price level,No price mentioned,38,Breeze Apartment,7,#7 of 38 condos in Colombo,4.0,https://www.tripadvisor.com/Hotel_Review-g293962-d3199554-Reviews-Breeze_Apartment-Colombo_Western_Province.html,no website
"16 Park Road, Colombo 00500 Sri Lanka","Pool, Internet, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Accessible rooms, Safe, Rooftop Bar, Rooftop Pool, Flatscreen TV, Rooftop Terrace, Breakfast Buffet, Infinity Pool, Outdoor pool, Housekeeping, Baggage Storage, Car Hire, 24-Hour Check-in, Doorperson, Entertainment Staff, Evening Entertainment, Complimentary Instant Coffee, 24-Hour Front Desk, Ironing Service, Pool / Beach Towels, Pool with View, 24-Hour Security, Sun Terrace, Taxi Service, Family Rooms, Breakfast Available, not provided","ME Colombo is a design hotel in the heart of Colombo provides individual hotel experience with genuine Sri Lankan hospitality. Hotel is featuring 22 exquisite, modern guest rooms with timeless modern style, an ideal choice when looking for accommodation options with sumptuous comfort and spectacular views in Colombo city. Chic and stylish rooms are well-appointed with subtle elegance with an emphasis on comfort and great nights sleep. Each room has impeccably with every luxury and amenity in mind to ensure that every stay is a pure delight with Modern-day amenities. Complimentary Wi-Fi, LCD TV with satellite channels, tea/coffee making facilities, in-room safe and much more to ensure convenience and ease. The hotel’s hallmark is its groundbreaking décor, the work of acclaimed designer Mr Vinod Jayasinghe, a student of renowned legendary architect Late Geoffrey Bawa, who regarded as one of the most important and influential Asian architects of the twentieth century. He became the third architect to receive the chairman’s award in the eighth cycle of the Aga Khan Award for Architecture since the award inception. Come and see it for yourself: enjoy a welcoming and sophisticated setting, through various spaces representing a range of cultures to create a rapport with guests through the journey and experience of discovery. The 07-storey ME Colombo stands proudly on the border of Colombo city, offering breath-taking views of the Colombo skyline. Centrally located in Havelock city, the hotel is adjacent to baseline road and is just 10 minutes from the beach, with easy access to international Airport via the ExpressWay. For business travellers; Colombo’s city centre is just a 20-minutes taxi ride away. ME Colombo also offers meeting room facilities with modern facilities and a gym only for in-house guests. We have an excellent range of facilities for every type of traveller, and we’re always on hand to help. The award-winning restaurant and Bar onsite; MY Dining restaurant serving traditional and authentic cuisine and offering sustainable international dishes. The effortlessly stylish rooftop lounge MY Bar with swimming pool is perfect for coffee or cocktail and a heart-warming menu full of modern classics. The beautiful MY Dining Restaurant, with extensive architectural designs, serves one of Colombo’s most extensive breakfasts and an exquisite Afternoon Tea with a delightful MY Dining menu. ME Colombo is the place for a stylish dining experience, special occasion, a leisurely lunch, a fine high tea in Sri Lankan style or freshly ground coffee with croissant in comfort. We offer the tone, atmosphere and specially designed menus by our talented chefs to delight every appetite. We enjoy the liberty of being independent as it allows us to express our unique and genuine personality. Our well experienced and highly professional staff ensures to deliver an outstanding service to make every guest experience a delightfully memorable stay. At ME Colombo, every guest is a VIP.",reservations@mecolombo.com,+94 71 213 4444,hotel,4.0,6.885678,79.86823,$,"LKR 16,599 - LKR 26,500",93,ME Colombo,3,#3 of 93 hotels in Colombo,5.0,https://www.tripadvisor.com/Hotel_Review-g293962-d13160059-Reviews-ME_Colombo-Colombo_Western_Province.html,https://www.facebook.com/MEColomboSriLanka/
"214/2 Messenger Street, Colombo 01200 Sri Lanka","Internet, Room service, Free Internet, Free parking, Restaurant, Bar/Lounge, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Air conditioning, Minibar, Kids Activities, Meeting rooms, Business center, Laundry Service, Parking, Housekeeping, Baggage Storage, Bath / Shower, BBQ Facilities, Car Hire, 24-Hour Check-in, Express Check-in / Check-out, Clothes Rack, Currency Exchange, English, Fireplace, Complimentary Toiletries, 24-Hour Front Desk, Hindi, Ironing Service, Newspaper, Private Check-in / Check-out, Seating Area, 24-Hour Security, Tamil, Taxi Service, Telephone, Wake Up Service / Alarm Clock, not provided","Brighten Rest brings you to heart of Colombo city, close proximity to all banks, government and private institutions. This makes our hotel the perfect destination for the business traveler. The hotel is ideal also for leisure travelers as you have easy access to theaters, cinemas and shopping malls.",brighten@eureka.lk,+94 11 2 329664,hotel,3.0,6.941449,79.86396,$,"LKR 3,494 - LKR 7,280",67,Brighten Hotels,51,#51 of 67 small hotels in Colombo,3.0,https://www.tripadvisor.com/Hotel_Review-g293962-d8451196-Reviews-Brighten_Hotels-Colombo_Western_Province.html,http://brightenhotels.lk/
"No 09 Samudra Mawatha, Dehiwala-Mount Lavinia 31000 Sri Lanka","Internet, Free Internet, Kitchenette, Wifi, Air conditioning, Refrigerator in room, Free parking, Parking, Bath / Shower, Express Check-in / Check-out, Desk, English, 24-Hour Front Desk, 24-Hour Security, Shared Kitchen, Sinhala, Beach Access, not provided",no description,seraj@fitsair.com,+94 77 222 8821,hotel,3.0,6.841641,79.863335,no price level,No price mentioned,5,The Margosa Residencies,1,#1 of 5 condos in Dehiwala-Mount Lavinia,4.5,https://www.tripadvisor.com/Hotel_Review-g499079-d8572575-Reviews-The_Margosa_Residencies-Dehiwala_Mount_Lavinia_Western_Province.html,http://www.fitsair.com/the-margosa-residencies.html
"86 Dr Colvin R De Silva Mawatha, Colombo 00200 Sri Lanka","Internet, Shuttle Bus Service, Room service, Kitchenette, Airport transportation, Wifi, Free Wifi, Dry Cleaning, Laundry Service, Air conditioning, Family Rooms, Microwave, Refrigerator in room, Minibar, Arabic, Bath / Shower, Blackout Curtains, Car Hire, Clothes Rack, Coffee / Tea Maker, Desk, English, Extra Long Beds, Complimentary Toiletries, Hair Dryer, Iron, Kitchenware, Seating Area, Soundproof Rooms, Wake Up Service / Alarm Clock, not provided",no description,zakresidences@gmail.com,+94 77 757 3170,hotel,3.0,6.923093,79.852615,no price level,No price mentioned,38,Zak Residences,36,#36 of 38 condos in Colombo,2.5,https://www.tripadvisor.com/Hotel_Review-g293962-d10481581-Reviews-Zak_Residences-Colombo_Western_Province.html,no website
